,DATE,CSUSHPISA,CSINFT02USM460S,CUSR0000SEHA,GDP,HNFSEPUSSA,HOUST1F,HSN1F,LFACTTTTUSM657S,MSACSR,MORTGAGE30US,NHFSEPCS,NHFSEPNTS,NHFSEPUCS,PERMIT,QUSR628BIS,RSAHORUSQ156S,RHORUSQ156N,TTLCONS,UMCSENT,UNRATE
0,2000-01-01,100.551,3.5,180.9,10002.179,311.0,1268.0,873.0,1.49097212809519,4.3,8.21,82.0,41.0,188.0,1727.0,95.3071,67.1,67.1,784940.0,112.0,4.0
1,2000-02-01,101.339,3.5,181.3,,299.0,1255.0,856.0,0.132848798386133,4.3,8.325,79.0,40.0,180.0,1692.0,,,,793737.0,111.3,4.1
2,2000-03-01,102.127,3.8,181.9,,313.0,1313.0,900.0,-0.0154433649688325,4.3,8.24,86.0,42.0,185.0,1651.0,,,,809459.0,107.1,4.0
3,2000-04-01,102.922,3.5,182.3,10247.72,305.0,1275.0,841.0,0.222559220410857,4.4,8.1525,80.0,40.0,185.0,1597.0,96.7197,67.3,67.2,804766.0,109.2,3.8
4,2000-05-01,103.678,3.5,182.8,,305.0,1230.0,857.0,-0.254288936679953,4.4,8.515,84.0,37.0,184.0,1543.0,,,,805005.0,110.7,4.0
5,2000-06-01,104.424,3.4,183.4,,306.0,1202.0,793.0,0.142568193948928,4.8,8.288,84.0,37.0,185.0,1572.0,,,,795411.0,106.4,4.0
6,2000-07-01,105.054,3.7,184.1,10318.165,303.0,1142.0,887.0,-0.219508945164842,4.1,8.1475,83.0,37.0,183.0,1542.0,98.0394,67.5,67.7,783795.0,108.3,4.0
7,2000-08-01,105.768,3.5,184.8,,302.0,1231.0,848.0,0.165872446899732,4.4,8.0275,85.0,38.0,179.0,1552.0,,,,805341.0,107.3,4.1
8,2000-09-01,106.538,3.7,185.4,,300.0,1195.0,912.0,0.0028067417937886,4.0,7.912000000000001,85.0,39.0,176.0,1570.0,,,,814330.0,106.8,3.9
9,2000-10-01,107.382,4.1,186.1,10435.744,301.0,1235.0,933.0,0.0729732384681233,4.0,7.795,86.0,40.0,175.0,1577.0,99.7249,67.5,67.5,816100.0,105.8,3.9
10,2000-11-01,108.302,3.8,186.7,,305.0,1212.0,880.0,0.238392393880327,4.2,7.745,90.0,42.0,173.0,1614.0,,,,820054.0,107.6,3.9
11,2000-12-01,109.14,3.4,187.4,,298.0,1226.0,983.0,0.200053160979841,3.6,7.382,87.0,41.0,170.0,1543.0,,,,811516.0,98.4,3.9
12,2001-01-01,109.846,3.8,188.0,10470.231,296.0,1275.0,936.0,0.385345694180722,3.8,7.0325,82.0,41.0,173.0,1699.0,101.1505,67.6,67.5,814479.0,94.7,4.2
13,2001-02-01,110.5,3.2,188.7,,296.0,1280.0,963.0,-0.06884561891516,3.7,7.05,80.0,41.0,175.0,1656.0,,,,813647.0,90.6,4.2
14,2001-03-01,111.109,3.3,189.5,,292.0,1218.0,939.0,0.155183332057536,3.8,6.952,78.0,44.0,170.0,1659.0,,,,828057.0,91.5,4.3
